code,axis,title,subtitle,org,doc,url,year_from,year_to,variants,headline,definition,assumptions,uncertainty,display,order
S01,population,총인구 감소·초고령화,통계청 장래인구추계 2022~2072 (중위·저위·고위),통계청(현 국가데이터처),장래인구추계: 2022~2072년 (2023.12.14 공표),https://kostat.go.kr/board.es?mid=a10301020600&bid=207&act=view&list_no=428476,2022,2072,중위(기본);저위;고위,"{""label"":""총인구 (2072년, 중위)"",""value"":""3,622만 명"",""delta"":""2022년 대비 −29.9%"",""badge"":""R"",""confidence"":""high""}","출생·사망·국제이동에 대한 가정을 조합해 향후 50년의 인구 규모와 연령구조를 전망한 국가 공식 추계. 중위 시나리오를 기본으로 하고, 출산율·기대수명·이동 가정을 낮게/높게 잡은 저위·고위 시나리오를 함께 제시합니다. 국내 거의 모든 장기 정책계획(재정·연금·교육·주택)이 이 추계를 기준선으로 삼기 때문에 사실상 대한민국 사회변화 시나리오의 원점에 해당합니다.","[""중위 가정: 합계출산율이 2025년 0.65명으로 저점을 찍은 뒤 반등해 2072년 1.08명에 도달"",""중위 가정: 기대수명이 2022년 82.7세에서 2072년 91.1세로 상승"",""중위 가정: 국제순이동은 연 4~6만 명 수준의 순유입 지속"",""저위 가정은 출산율 저점 0.59명·2072년 0.82명, 고위 가정은 저점 0.75명·2072년 1.34명""]","출산율 가정에 결과가 극단적으로 민감합니다. 2072년 총인구는 중위 3,622만 명이지만 저위 3,017만 명, 고위 4,282만 명으로 폭이 1,265만 명(중위의 35%)에 달합니다. 반면 이미 태어난 세대가 고령층이 되는 흐름은 확정적이어서, 고령화 관련 지표(65세 이상 비중, 노년부양비)는 시나리오 간 차이가 작고 신뢰도가 높습니다. 즉 '얼마나 줄어드는가'는 불확실하지만 '얼마나 늙는가'는 거의 확정입니다.",TRUE,1
S02,population,지역 인구감소·지방소멸,장래인구추계(시도편) 2022~2052 + 행안부 인구감소지역 89곳,"통계청(국가데이터처), 행정안전부","장래인구추계(시도편): 2022~2052년 (2024.5.28) / 인구감소지역 지정 고시(2021 최초, 2024 유지)",https://kostat.go.kr/board.es?mid=a10301010000&bid=207&act=view&list_no=431113,2022,2052,중위(기본),"{""label"":""인구감소지역 지정 시군구"",""value"":""89곳 + 관심지역 18곳"",""delta"":""전국 229개 시군구의 38.9%"",""badge"":""R"",""confidence"":""high""}","전국 총량 추계(S01)를 시도 단위로 분해한 지역별 인구 전망과, 「지방자치분권 및 지역균형발전에 관한 특별법」에 따라 행정안전부가 지정·고시한 인구감소지역을 결합한 시나리오입니다. S01이 '얼마나 줄어드는가'를 다룬다면 S02는 '어디가 먼저 비는가'를 다룹니다. 총인구 감소보다 지역 간 격차 확대가 K-SDGs의 불평등(목표10)·도시(목표11)·보건(목표3)·교육(목표4) 지표에 훨씬 먼저 나타납니다.","[""시도 간 인구이동 패턴이 최근 5년 평균 수준으로 지속(수도권 순유입 유지)"",""출생·사망 가정은 전국 중위 추계와 동일하게 시도별로 배분"",""행정구역 개편·대규모 신도시 개발 등 인위적 인구 재배치가 없다고 전제""]","지역 추계는 전국 추계보다 불확실성이 큽니다. 인구이동은 출생·사망보다 변동성이 크고 정책(공공기관 이전, 신도시, 대학 정책)에 민감하기 때문입니다. 또한 시도 단위 전망은 같은 시도 안의 시군구 간 격차(예: 경북 내 구미와 군위)를 감추기 때문에, 실제 지방소멸은 이 지표가 보여주는 것보다 국지적으로 더 심각합니다.",TRUE,2
S03,climate,저탄소 기후경로 SSP1-2.6,기상청 남한상세 기후변화 시나리오 (파리협정 목표 달성 경로),기상청 국립기상과학원,남한상세 기후변화 전망보고서(2022 개정판) / SSP 기반 남한상세 기후변화 시나리오 보도자료(2021.12.23),https://www.kma.go.kr/kma/flexer/html/press/2021/12/23/ATC202112231916073_85b73f4a-2a60-4b89-b007-209beec48ad6.hwp.files/Sections1.html,2021,2100,21세기 전반기(2021-2040);21세기 후반기(2081-2100),"{""label"":""남한 평균기온 (21세기 후반)"",""value"":""+2.3 ℃"",""delta"":""현재(2000-2019) 대비"",""badge"":""R"",""confidence"":""high""}","IPCC 제6차 평가보고서(AR6)의 공통사회경제경로(SSP) 중 가장 적극적인 감축 경로입니다. 재생에너지 기술 발달로 화석연료 사용이 최소화되고 친환경적으로 지속가능한 경제성장을 이루는 사회를 가정하며, 2100년 복사강제력 2.6 W/㎡ 수준에 해당합니다. 기상청은 이 전 지구 시나리오를 1km 해상도로 남한에 상세화해 지역별 전망을 산출했습니다. 사실상 '전 세계가 탄소중립에 성공했을 때' 우리나라가 맞을 기후이며, 국내 적응대책의 하한 시나리오로 쓰입니다.","[""전 지구 CO₂ 배출이 2050년경 순배출 제로에 도달"",""산업기술 발전이 친환경 방향으로 전개되고 자원소비가 억제됨"",""기상청 상세화: HadGEM3-GC3.1 등 다중 GCM을 1km 격자로 역학적·통계적 상세화"",""현재값 기준기간은 2000~2019년 20년 평균""]","이 경로조차 기온 상승을 멈추지는 못합니다. 21세기 전반기(+1.3℃)와 후반기(+2.3℃)의 차이가 1.0℃에 그친다는 점이 이 시나리오의 핵심으로, 2040년 이후에는 상승이 크게 둔화됩니다. 다만 전 지구 배출경로가 실제로 SSP1-2.6을 따를 확률은 현재 정책 궤적상 낮게 평가되고 있어, 이 시나리오는 '전망'이라기보다 '목표 달성 시의 결과'로 읽어야 합니다. 또한 극한지수(폭염·열대야)는 평균기온보다 상세화 모형 간 편차가 큽니다.",TRUE,3
S04,climate,고탄소 기후경로 SSP5-8.5,기상청 남한상세 기후변화 시나리오 (화석연료 집약 발전 경로),기상청 국립기상과학원,남한상세 기후변화 전망보고서(2022 개정판) / SSP 기반 남한상세 기후변화 시나리오 보도자료(2021.12.23),https://www.kma.go.kr/kma/flexer/html/press/2021/12/23/ATC202112231916073_85b73f4a-2a60-4b89-b007-209beec48ad6.hwp.files/Sections1.html,2021,2100,21세기 전반기(2021-2040);21세기 후반기(2081-2100),"{""label"":""남한 평균기온 (21세기 후반)"",""value"":""+6.3 ℃"",""delta"":""현재(2000-2019) 대비, 저탄소 경로의 2.7배"",""badge"":""R"",""confidence"":""high""}","산업기술의 빠른 발전에 중심을 두어 화석연료 사용이 높고 도시 위주의 무분별한 개발이 확대되는 것을 가정한 경로로, 2100년 복사강제력 8.5 W/㎡에 해당합니다. IPCC AR6에서는 이 경로의 실현 가능성 자체는 낮게 보지만, 적응대책의 상한을 설계하기 위한 기준선(worst case)으로 국내 모든 부문별 기후위기 적응대책에서 사용됩니다. S03(SSP1-2.6)과 짝을 이뤄 '감축 성공 시'와 '감축 실패 시'의 격차를 보여주는 것이 이 시나리오의 핵심 용도입니다.","[""전 지구 CO₂ 배출이 21세기 내내 증가해 2100년 현재의 2배 이상"",""에너지 집약적 생활양식과 화석연료 기반 성장이 지속"",""기상청 상세화 방법론은 SSP1-2.6과 동일(1km 격자, 다중 GCM)"",""현재값 기준기간은 2000~2019년 20년 평균""]","감축 실패의 대가가 선형이 아니라는 점이 이 시나리오의 요체입니다. 기온은 저탄소 대비 2.7배지만 폭염일수는 3.5배(25.0일 → 86.4일), 열대야는 3.1배(24.1일 → 74.2일)로 극한지수의 격차가 평균기온 격차보다 큽니다. 21세기 전반기에는 두 시나리오의 기온 차이가 0.2℃(1.3 vs 1.5)에 불과해 2040년까지는 감축 성패가 체감되지 않는다는 점도 중요합니다 — 즉 대가는 전부 후반기에 몰려 있습니다.",TRUE,4
S05,carbon,2035 NDC와 2050 탄소중립,"2018년 대비 53~61% 감축 (2025.11.11 국무회의 확정, COP30 발표)","대통령직속 2050 탄소중립녹색성장위원회 / 국가기후위기대응위원회, 환경부",2035 국가 온실가스 감축목표(NDC) 확정(2025.11.11) / 2050 탄소중립 시나리오(2021.10) / 제4차 배출권 할당계획(2026~2030),https://www.korea.kr/news/policyNewsView.do?newsId=148954548,2018,2050,53% 감축안(하한);61% 감축안(상한),"{""label"":""2035년 감축목표"",""value"":""2018년 대비 53~61%"",""delta"":""배출량 342 ~ 284 백만톤CO₂eq"",""badge"":""R"",""confidence"":""high""}","파리협정에 따라 5년 주기로 갱신하는 국가 온실가스 감축목표입니다. 2025년 11월 11일 국무회의에서 2035년 목표를 '2018년 대비 하한 53%·상한 61% 감축'으로 확정하고 11월 18일 COP30(브라질 벨렝)에서 공식 발표했습니다. 기존 2030 NDC(40% 감축)와 2050 탄소중립을 잇는 중간 목표이며, 배출권거래제·재생에너지 확대·수송 전동화 등 거의 모든 기후정책의 상위 구속조건으로 작동합니다. K-SDGs 목표13의 핵심 지표인 동시에, 목표7(에너지)·9(산업)·12(생산소비)에 직접적인 규제 압력으로 전달됩니다.","[""기준연도는 배출 정점인 2018년(727.6 백만톤CO₂eq)"",""감축 범위는 국내 직접감축 + 흡수원 + CCUS + 국외감축(국제감축)을 합산한 순배출 기준"",""2026~2030년 제4차 배출권 할당계획에서 발전 부문 유상할당 비율을 2030년 50%까지 단계적 상향"",""산업 부문은 수출 경쟁력을 고려해 약 95%가 무상할당 유지""]","가장 큰 불확실성은 '53%냐 61%냐'가 아니라 '부문 간 배분'에 있습니다. 53%안에서도 전환(발전) 부문은 68.8%를 감축해야 하는 반면 산업 부문은 24.3%에 그쳐, 감축 부담이 전력 부문에 압도적으로 쏠려 있습니다. 즉 이 목표의 달성 여부는 사실상 S06(발전믹스 전환)의 성패에 종속됩니다. 또한 국외감축·CCUS 등 국내 직접감축이 아닌 수단의 비중이 커질수록 실제 국내 배출 감소는 목표치보다 작아집니다.",TRUE,5
S06,carbon,발전믹스 전환 — 제11차 전력수급기본계획,무탄소 발전비중 39.1%(2023) → 70.7%(2038),산업통상자원부,제11차 전력수급기본계획(2025.2.21 확정),https://www.khan.co.kr/article/202502211941001,2023,2038,확정안,"{""label"":""무탄소 발전 비중 (2038년)"",""value"":""70.7%"",""delta"":""2023년 39.1% 대비 +31.6%p"",""badge"":""R"",""confidence"":""high""}","2년 주기로 수립하는 전력 부문 최상위 법정계획으로, 15년간의 전력수요 전망과 이를 충족할 발전설비 확충 계획을 담습니다. 제11차 계획은 2025년 2월 21일 확정되었으며 2038년까지 원전과 재생에너지를 함께 늘려 무탄소 발전(원자력+재생에너지+수소·암모니아) 비중을 70.7%로 끌어올리는 것을 목표로 합니다. S05(NDC)에서 전환 부문이 68.8%라는 최대 감축부담을 진 만큼, 이 계획의 이행 여부가 국가 감축목표 달성의 사실상 단일 결정요인입니다.","[""2038년까지 신재생에너지 설비 125.9GW 보급(실무안 대비 2.4GW 증가)"",""대형원전 신규 2기 + SMR 1기 추가 건설(실무안의 대형원전 3기 중 1기는 유보)"",""전력수요는 데이터센터·전기차·산업 전기화로 지속 증가한다고 전제"",""석탄발전은 설계수명 도래 설비부터 순차 폐지 또는 LNG 전환""]","이 계획의 최대 리스크는 발전설비가 아니라 계통(송배전망)입니다. 재생에너지 125.9GW와 신규 원전은 대부분 수도권 밖에 입지하는 반면 수요는 수도권에 집중되어, 송전망 건설이 지연되면 설비가 있어도 발전할 수 없는 출력제어가 상시화됩니다. 또한 계획은 2년마다 개정되므로 정권·정책 변화에 따라 원전과 재생에너지의 배분이 조정될 수 있습니다. 반면 '무탄소 비중을 70% 이상으로 올린다'는 방향 자체는 NDC 구속력 때문에 되돌리기 어렵습니다.",TRUE,6
S07,economy,잠재성장률 하락과 재정 지속가능성,KDI 잠재성장률 전망 + 국회예산정책처 제3차 장기재정전망(2025~2065),"한국개발연구원(KDI), 국회예산정책처(NABO), 한국은행","잠재성장률 전망과 정책적 시사점(KDI, 2025.5) / 제3차 장기재정전망 2025~2065(NABO, 2025.9)",https://www.kdi.re.kr/research/analysisView?art_no=3671,2025,2065,기준;인구대응/인구악화;성장대응/성장악화,"{""label"":""잠재성장률 (2041~2050년)"",""value"":""0.1%"",""delta"":""2025~2030년 1.5% → 사실상 제로성장"",""badge"":""R"",""confidence"":""high""}","노동·자본·총요소생산성이 정상적으로 투입될 때 물가 압력 없이 달성 가능한 성장률(잠재성장률)과, 그 성장 경로 위에서 인구구조가 재정에 미치는 압력을 전망한 시나리오입니다. 다른 9개 시나리오와 달리 이것은 정부 계획이 아니라 국책·의회 연구기관의 전망이며, '정책이 바뀌지 않으면 이렇게 된다'는 경고 성격의 기준선(baseline)입니다. K-SDGs 목표8(일자리·성장)의 직접 지표이자, 목표1(사회안전망)·3(보건)·4(교육)의 재원 제약 조건으로 작동합니다.","[""생산연령인구는 2019년 3,763만 명을 정점으로 감소(S01과 동일한 통계청 중위 추계 사용)"",""노동 투입 기여도가 2030년 전후 마이너스로 전환"",""총요소생산성 증가율이 현 추세에서 크게 개선되지 않음"",""재정전망은 현행 제도와 법정 지출구조가 유지된다는 '무정책(no-policy-change)' 가정""]","이 시나리오의 불확실성은 인구가 아니라 생산성에 있습니다. NABO 전망에서 2065년 국가채무비율은 기준 156.3%지만, 인구 가정을 바꾸면 144.7~169.6%(폭 25%p), 거시경제 가정을 바꾸면 133.0~173.4%(폭 40%p)로 벌어집니다. 즉 재정의 운명은 출산율보다 성장률에 더 민감합니다. 또한 '무정책' 가정이므로 연금·의료·조세 개혁이 이뤄지면 경로가 크게 달라집니다 — 이 전망은 예측이 아니라 개혁 필요성을 보여주는 반사실(counterfactual)입니다.",TRUE,7
S08,environment,대기질 개선 경로 — 제3차 대기환경개선 종합계획,초미세먼지 전국 연평균 18㎍/㎥(2022) → 12㎍/㎥(2032),환경부,"제3차 대기환경개선 종합계획(2023~2032년), 2022.12.27 발표",https://www.korea.kr/briefing/pressReleaseView.do?newsId=156544875,2015,2032,계획 달성 경로;무대책 경로(OECD 전망),"{""label"":""PM2.5 전국 연평균 (2032년 목표)"",""value"":""12 ㎍/㎥"",""delta"":""2015년 26㎍/㎥ 대비 −54%"",""badge"":""R"",""confidence"":""high""}","대기환경 분야의 전국 단위 최상위 법정계획으로 10년 주기로 수립합니다. 제3차 계획은 초미세먼지 연평균 농도를 2032년까지 12㎍/㎥로 낮춰 OECD 중위권에 진입하는 것을 목표로 하며, 사업장·자동차·생활 배출원 관리 강화와 동아시아 협력 제도화를 수단으로 제시합니다. 이 대시보드의 10개 시나리오 중 유일하게 '지표가 개선되는 방향'이 주된 서사인 시나리오로, 감축 노력이 실제로 성과를 내고 있음을 보여주는 대조군 역할을 합니다.","[""국내 배출 저감과 함께 중국 등 국외 유입 기여분도 동아시아 협력을 통해 감소"",""2021년 배출량 대비 대기오염물질별 배출량이 2032년 12~61% 감소"",""황사 발생일은 농도 산정에서 제외"",""측정망 구성·측정방법이 계획기간 동안 일관되게 유지""]","국외 유입 기여분(연평균 기준 30~50%로 추정)이 이 계획의 최대 변수입니다. 국내 배출을 목표대로 줄여도 국외 기여가 늘면 농도 목표는 달성되지 않습니다. 반대로 2015~2022년의 급격한 개선(26→18㎍/㎥)에는 코로나19 기간의 활동 감소와 중국의 대기질 정책 효과가 상당 부분 포함되어 있어, 남은 6㎍/㎥ 감축이 앞선 8㎍/㎥보다 훨씬 어려울 가능성이 큽니다(저비용 감축수단 소진).",TRUE,8
S09,environment,물수급 전망과 가뭄 리스크,제1차 국가물관리기본계획 + 기후대응댐 추진(2024),"환경부, 국가물관리위원회",제1차 국가물관리기본계획(2021~2030) / 기후대응댐 후보지(안) 14곳 발표(2024.7.30),https://www.korea.kr/news/policyNewsView.do?newsId=156643945,2020,2035,평년;최대 가뭄,"{""label"":""2030년 연간 물부족량 (최대 가뭄 시)"",""value"":""약 5.5억 톤"",""delta"":""기후대응댐 14곳(2.5억 톤)으로 45% 충당"",""badge"":""R"",""confidence"":""low""}","국가물관리기본계획은 「물관리기본법」에 따라 10년 주기로 수립되는 물 분야 최상위 계획으로, 용수 수요와 공급 가능량을 비교해 미래 물부족량을 산정합니다. 2024년 7월 환경부는 기후위기로 인한 극한 가뭄·홍수에 대응하기 위해 기후대응댐 후보지 14곳을 발표했습니다. 이 시나리오는 기후변화(S03·S04)의 강수 패턴 변화가 물이라는 매개를 통해 식량(SDG2)·보건(SDG6)·산업(SDG9)으로 전달되는 경로를 다룹니다.","[""용수 수요는 생활·공업·농업 부문별로 별도 전망"",""공급 가능량은 기존 댐·저수지·지하수의 이수안전도 기준 산정"",""기후대응댐 14곳(다목적 3, 홍수조절 7, 용수전용 4)이 계획대로 건설된다고 전제"",""'최대 가뭄'은 과거 관측 최악의 가뭄 사상이 재현되는 경우""]","이 시나리오는 10개 중 근거 자료의 일관성이 가장 낮습니다. 제1차 국가물관리기본계획은 2030년 물부족량을 약 2.6억 톤으로 산정했으나, 2026년 정부 내부 전망에서는 최대 가뭄 시 5.5억 톤으로 2배 이상 커진 수치가 제시되어 진단이 1~2년 만에 크게 달라졌습니다. 수요 전망(특히 데이터센터·반도체 등 신규 산업 용수)과 기후 시나리오 반영 방식이 계획마다 달라 생긴 차이로 보이며, 원문 대조 없이 두 수치를 비교하면 안 됩니다. 이 대시보드는 두 값을 모두 표기하고 출처·시점을 명시하는 방식을 택했습니다.",TRUE,9
S10,environment,해수면 상승과 연안 리스크,국립해양조사원 SSP 기반 우리나라 주변 해역 해수면 전망,"해양수산부, 국립해양조사원(KHOA)",신(新)기후변화 시나리오 적용 우리나라 주변 해역 해수면 전망(2023.3) / 기후변화에 따른 해수면 변동분석 및 예측연구,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=49514&menuSeq=971&bbsSeq=10,1989,2100,SSP1-2.6(저탄소);SSP5-8.5(고탄소),"{""label"":""2100년 해수면 상승 (고탄소)"",""value"":""+82 cm"",""delta"":""저탄소 경로 +47cm 대비 35cm 차이"",""badge"":""R"",""confidence"":""high""}","국립해양조사원이 IPCC AR6의 SSP 시나리오를 우리나라 주변 해역에 적용해 산출한 해수면 전망입니다. 2021년 발표된 RCP8.5 기반 전망(2100년 +73cm)보다 최대 9cm 높아졌습니다. 해수면 상승은 다른 기후영향과 달리 '되돌릴 수 없고 수백 년간 지속되는' 특성이 있어, 적응(방재·이주) 외에 대안이 없는 유일한 시나리오입니다. K-SDGs 목표11(도시·주거)·14(해양생태계)·9(인프라)에 직접 작용합니다.","[""해양 열팽창 + 육상 빙하·빙상 융해 + 육지 물저장량 변화를 합산"",""SSP1-2.6은 2050년 +20cm, 2100년 +47cm / SSP5-8.5는 2050년 +25cm, 2100년 +82cm"",""지반 침하(국지적 상대해수면 변화)는 포함하지 않음"",""남극 빙상의 급격한 붕괴 같은 임계점(tipping point) 시나리오는 제외""]","가장 큰 불확실성은 남극 빙상입니다. IPCC AR6는 빙상 불안정성이 현실화되면 2100년 전 지구 해수면이 2m 이상 상승할 가능성(낮은 확률·높은 영향)을 배제하지 않았습니다. 위 전망은 그 시나리오를 제외한 값이므로 하한 성격입니다. 또한 2050년 시점에서는 두 시나리오의 차이가 5cm(20 vs 25)에 불과해, 앞으로 25년간의 감축 성과는 해수면에서 거의 체감되지 않습니다 — 해수면은 배출 감축의 효과가 가장 늦게 나타나는 지표입니다.",TRUE,10
